,points,detector-time,focused,descriptor-time,matches,matching-time
,2628,174.465,268,2.05497,174,0.026176
,2639,174.805,259,2.08573,167,0.025981
,2672,176.886,250,1.89719,182,0.02547
,,,,,,
ORB-BRISK,500,13.170178,115,0.9813863,82.66666667,0.012826778
,500,86.2854,91,0.893639,,
,500,5.19249,102,0.860107,73,0.012593
,500,4.74775,106,0.878267,74,0.013292
,500,4.61366,113,0.928503,79,0.0112
,500,5.0891,109,0.940197,85,0.013996
,500,5.11431,124,1.05476,79,0.01426
,500,5.20498,129,1.09937,90,0.007607
,500,5.13569,127,1.08476,88,0.014004
,500,5.17267,124,1.0426,86,0.014211
,500,5.14573,125,1.03166,90,0.014278
,,,,,,
SIFT-BRISK,1386,55.00158,137.2,1.1033629,65.33333333,0.012878667
,1437,54.7212,137,1.09897,,
,1371,52.0188,131,1.04583,63,0.010312
,1381,54.6394,121,0.963559,64,0.011828
,1336,57.0692,136,1.10254,61,0.009892
,1303,55.0027,134,1.04816,66,0.014899
,1370,54.9326,139,1.12176,59,0.011904
,1396,53.2141,136,1.12612,65,0.014957
,1382,55.2808,147,1.14729,64,0.012563
,1462,56.3934,156,1.26777,67,0.015493
,1422,56.7436,135,1.11163,79,0.01406
,,,,,,
AKAZE-BRISK,1342.9,37.76159,165.5,1.372291,133.7777778,0.018061444
,1351,37.727,162,1.31583,,
,1327,36.6291,157,1.24584,134,0.02082
,1311,37.2709,159,1.26752,124,0.016291
,1351,37.5985,154,1.21446,129,0.017998
,1360,36.2298,162,1.28391,128,0.01448
,1347,40.6831,163,1.38447,130,0.021232
,1363,42.689,173,1.74177,132,0.018023
,1331,35.5149,175,1.45841,142,0.011167
,1357,38.2949,175,1.4289,144,0.02141
,1331,34.9787,175,1.3818,141,0.021132
,,,,,,
Shi-Tomasi-FREAK,1342.3,7.798344,117.9,21.04239,85.33333333,0.013283556
,1370,10.9341,125,23.1291,,
,1301,9.15028,118,20.7584,86,0.012562
,1361,7.69816,123,21.0601,90,0.01398
,1358,7.21341,120,20.6878,86,0.014335
,1333,7.23108,120,20.6577,88,0.014451
,1284,7.17031,113,20.77,86,0.014478
,1322,6.76329,114,20.6376,80,0.014348
,1366,7.15917,123,20.6387,81,0.009699
,1389,7.61313,111,21.4784,86,0.013345
,1339,7.05051,112,20.6061,85,0.012354
,,,,,,
HARRIS-FREAK,173.7,8.806037,24.8,20.34205,16,0.003609444
,115,7.52974,17,20.3514,,
,98,7.33685,14,20.246,13,0.005117
,113,7.64802,18,20.3103,13,0.00268
,121,7.54922,21,20.1997,15,0.002837
,160,7.88416,26,20.4654,15,0.003169
,383,15.4205,43,20.4874,17,0.003418
,85,7.30087,18,20.3343,20,0.004192
,210,8.56302,31,20.4385,12,0.003325
,171,8.09119,26,20.1901,21,0.003846
,281,10.7368,34,20.3974,18,0.003901
,,,,,,
FAST-FREAK,1787.4,0.5718453,149.1,20.95228,97.55555556,0.015102889
,1824,0.595788,149,21.0313,,
,1832,0.582749,152,20.9297,98,0.015785
